,Date,Agar Malwa,Alirajpur,Anuppur,Ashoknagar,Balaghat,Barwani,Betul,Bhind,Bhopal,Burhanpur,Chhatarpur,Chhindwara,Damoh,Datia,Dewas,Dhar,Dindori,Guna,Gwalior,Harda,Hoshangabad,Indore,Jabalpur,Jhabua,Katni,Khandwa,Khargone,Maihar,Mandla,Mandsaur,Mauganj,Morena,Narsinghpur,Neemuch,Niwari,Pandhurna,Panna,Raisen,Rajgarh,Ratlam,Rewa,Sagar,Satna,Sehore,Seoni,Shahdol,Shajapur,Sheopur,Shivpuri,Sidhi,Singrauli,Tikamgarh,Ujjain,Umaria,Vidisha,SUM_PRECTOTCORR
0,1982-01-31,81.03,29.59,108.57,83.96000000000001,93.11,38.12,144.16,45.32,164.25,74.28999999999999,90.66,145.56,113.45,43.48,90.6,40.58,108.9,83.96000000000001,41.47,135.69,178.12,51.64,118.15,43.66,111.32,120.15,49.28,106.52,106.73,53.44,107.07,46.34,136.18,47.58,50.24,126.93,101.99,148.46,108.74,46.54,98.91,120.73,104.1,147.23,117.98,108.56,139.45,56.63,49.33,107.07,100.08,64.2,54.35,108.56,164.25,5157.259999999999
1,1982-02-28,6.57,6.19,37.3,6.6,72.47,7.81,26.42,16.72,14.28,16.14,19.17,25.69,16.08,15.42,11.11,8.22,37.23,6.6,17.55,15.84,17.91,9.62,32.88,7.96,24.94,18.61,9.87,14.74,53.14,4.56,18.3,10.95,26.41,4.41,12.12,26.29,14.61,17.69,7.3,6.91,25.63,12.25,20.6,13.84,43.72000000000001,26.89,10.96,4.970000000000001,13.83,18.3,25.32,8.97,9.040000000000001,26.89,14.28,998.1199999999999
2,1982-03-31,0.35,0.55,32.98,2.76,29.86,1.64,6.89,21.49,1.6,6.73,26.11,6.68,10.32,15.83,0.54,0.77,33.55,2.76,16.76,2.69,2.16,1.02,14.11,0.32,23.59,5.74,2.31,27.59,26.6,2.36,30.83,12.92,7.74,2.96,11.41,8.16,21.48,4.41,0.35,0.38,34.54,4.350000000000001,30.67,1.02,15.97,31.35,0.36,6.12,12.89,30.83,31.79,7.84,0.37,31.35,1.6,668.35
3,1982-04-30,37.23,29.08,6.65,14.16,18.12,16.33,25.99,20.59,11.23,13.79,15.96,24.92,7.09,22.63,13.08,17.57,6.670000000000001,14.16,22.17,11.71,11.73,14.94,4.17,22.6,5.62,12.52,14.57,11.97,9.77,69.73,12.42,25.76,7.22,71.67999999999999,20.89,29.86,10.84,8.92,20.52,34.22,13.93,10.28,12.33,11.84,10.69,7.359999999999999,14.42,49.02,20.42,12.42,11.49,16.47,18.95,7.359999999999999,11.23,997.29
4,1982-05-31,17.41,40.08,54.51,11.87,75.02,26.47,17.77,20.41,13.64,26.11,34.76,17.29,24.01,16.06,18.87,26.97,54.93,11.87,15.76,16.84,14.4,24.56,30.36,28.54,39.72,19.32,25.01,40.91,54.47,21.37,41.84,16.92,23.17,24.05,14.87,16.88,35.61,17.94,13.8,28.05,35.34,15.8,40.63,15.17,35.33,49.3,14.19,19.27,14.98,41.84,46.22,14.3,25.09,49.3,13.64,1502.84
5,1982-06-30,72.22,48.94,248.84,69.22,215.04,50.21,198.44,44.24,188.27,72.97,54.84,195.88,147.58,49.2,99.21000000000001,55.58,259.62,69.22,50.37,155.2,218.27,62.04,225.61,59.32,180.75,130.91,57.31,56.91,244.82,37.57,61.02,43.94,217.59,34.81,48.67,162.73,77.25,193.96,100.31,58.28,53.01,136.25,65.46,167.2,232.5,205.42,148.99,34.45,50.54,61.02,142.64,54.25,65.87,205.42,188.27,6428.45
6,1982-07-31,288.68,272.37,388.42,347.65,379.9,226.25,419.94,261.77,473.14,297.02,353.82,429.75,341.79,253.08,291.98,234.56,391.98,347.65,258.48,406.81,504.49,237.67,307.17,241.73,358.89,409.7,233.67,390.09,375.25,231.78,364.46,240.0,333.56,226.91,265.1,386.7,371.71,420.57,358.12,245.5,286.15,395.22,333.7,409.67,338.2,380.91,397.13,234.64,266.88,364.46,337.81,302.5,244.56,380.91,473.14,18313.99
7,1982-08-31,357.61,168.18,491.15,539.91,529.4399999999999,118.5,286.94,389.79,538.84,124.25,514.5600000000001,292.89,610.24,392.11,204.4,117.38,490.75,539.91,400.75,309.84,516.31,111.29,626.96,138.54,585.47,236.27,109.09,569.41,562.36,336.58,538.6,386.68,578.48,315.97,431.29,167.29,576.4,592.78,458.6,192.67,464.66,582.18,510.03,371.11,563.26,499.09,416.03,412.11,430.92,538.6,465.45,505.53,138.82,499.09,538.84,22384.2
8,1982-09-30,69.17999999999999,75.19000000000001,113.24,75.85,104.71,84.05,151.75,16.19,106.04,108.32,167.38,148.29,126.19,23.79,109.64,92.77,112.34,75.85,23.12,123.46,121.5,101.33,129.53,92.27,142.39,133.44,93.84,185.28,115.15,33.37,171.8,18.73,126.21,30.29,41.1,142.41,173.25,114.76,80.28999999999999,78.33999999999999,154.51,100.08,159.54,110.8,130.05,128.0,96.65,31.91,39.23,171.8,132.64,65.92,99.71,128.0,106.04,5687.51
9,1982-10-31,31.69,17.41,86.00999999999999,33.11,93.97,20.52,71.13,4.510000000000001,82.03,28.3,27.08,69.09,65.13000000000001,4.45,47.39,21.8,85.07000000000001,33.11,4.41,69.03,91.22000000000001,26.43,95.11000000000001,22.81,76.05999999999999,53.98,24.11,34.59999999999999,96.5,11.99,30.32,3.64,92.01,9.799999999999999,10.2,47.62,41.23,81.69,46.41,21.31,17.43,59.26000000000001,29.85,77.47999999999999,95.18,70.55,69.87,5.17,11.81,30.32,48.27,21.67,28.05,70.55,82.03,2529.77
10,1982-11-30,40.81,43.0,9.98,39.2,8.379999999999999,39.82,18.64,47.02,36.98,25.58,32.48,20.5,30.51,49.68,42.65,43.46,9.77,39.2,50.9,32.03,33.94,43.27,14.61,43.76,14.61,26.9,38.2,24.69,9.68,38.77,25.3,47.24,21.75,37.4,46.79,13.13,27.44,34.53,36.83,41.82,29.64,39.61000000000001,25.27,33.92,12.22,13.55,34.75,39.9,47.49,25.3,19.14,42.94,44.35,13.55,36.98,1739.86
11,1982-12-31,0.09000000000000001,0.0,0.09,1.92,0.09,0.0,0.07,13.33,0.27,0.0,3.77,0.06,1.33,12.07,0.0,0.0,0.08,1.92,12.6,0.0,0.06,0.0,0.28,0.0,0.24,0.0,0.0,0.8,0.14,0.44,0.34,10.79,0.23,0.49,8.780000000000001,0.03,1.85,0.5,0.24,0.02,0.6599999999999999,1.13,0.28,0.01,0.2,0.11,0.05,4.779999999999999,9.36,0.34,0.1,5.08,0.0,0.11,0.27,95.4
12,1983-01-31,5.46,0.27,4.19,12.22,3.35,0.2,7.48,12.02,10.79,0.9,19.31,7.3,14.04,12.25,3.1,0.38,3.69,12.22,12.55,4.97,9.36,0.63,8.540000000000001,0.8400000000000001,10.26,3.55,0.4,19.14,4.5,3.0,17.32,11.14,9.58,2.32,12.79,6.24,18.59,11.7,9.14,1.53,17.54,12.63,15.77,6.550000000000001,7.01,7.300000000000001,8.06,8.379999999999999,13.04,17.32,9.19,13.24,1.2,7.300000000000001,10.79,462.58
13,1983-02-28,0.01,0.0,12.86,1.35,16.83,0.0,21.36,3.0,3.05,0.77,4.0,19.74,8.94,2.51,0.15,0.0,12.97,1.35,2.52,2.63,5.32,0.04,18.92,0.0,13.2,3.86,0.08,5.47,17.15,0.01,4.26,2.28,16.79,0.0,2.21,22.82,6.84,7.81,0.25,0.0,1.85,4.37,4.24,1.29,21.83,10.79,0.51,0.9099999999999999,2.38,4.26,6.97,2.35,0.01,10.79,3.05,316.95
14,1983-03-31,0.0,0.19,1.24,0.0,0.74,0.75,1.7,0.24,0.1,3.63,0.01,1.72,0.02,0.05,0.31,0.35,1.33,0.0,0.06,1.43,0.52,0.54,0.23,0.1,0.52,3.12,1.18,0.14,0.79,0.0,0.27,0.06,0.13,0.0,0.0,2.54,0.04,0.06,0.01,0.01,0.11,0.0,0.29,0.49,0.32,0.99,0.1,0.0,0.01,0.27,0.84,0.0,0.16,0.99,0.1,28.8
15,1983-04-30,7.46,3.61,3.32,9.88,9.02,3.37,3.58,43.36,1.65,1.83,13.13,3.37,4.680000000000001,41.48,4.09,4.18,3.72,9.88,42.44,2.04,0.9,4.26,2.12,4.859999999999999,2.8,1.88,3.4,6.62,5.32,12.44,9.74,39.69,1.53,12.93,33.19,4.18,6.91,1.97,5.27,6.22,15.18,4.79,11.65,1.97,4.05,5.13,2.73,24.31,35.08,9.74,11.44,21.06,4.88,5.13,1.65,541.11
16,1983-05-31,38.94,1.73,47.23,16.19,35.09,0.47,9.56,34.72,18.25,1.58,16.2,10.7,9.31,32.1,9.969999999999999,1.83,48.97,16.19,32.81,12.75,19.33,2.12,10.08,7.18,21.72,8.11,0.79,13.77,33.05,62.03,15.09,32.45,8.41,60.42,26.05,7.36,13.12,13.07,25.04,20.91,9.07,12.58,14.74,16.66,13.83,39.4,19.87,43.61,26.91,15.09,29.96,18.39,7.29,39.4,18.25,1119.74
17,1983-06-30,48.45,57.62,118.64,44.59,129.23,54.23,121.07,43.3,66.69,54.56999999999999,98.13000000000001,115.9,84.71,50.23,71.47,54.36,120.29,44.59,52.32,78.98,79.01,58.12,120.83,51.8,119.05,77.85,54.02,114.67,129.52,36.68,114.17,44.16,103.0,34.35,52.74,120.75,103.72,77.26,47.85,45.63,96.38000000000001,61.71,108.17,74.47,133.09,120.43,62.64,40.02,53.77,114.17,115.0,53.03,57.92,120.43,66.69,4372.469999999999
18,1983-07-31,211.92,229.92,342.47,242.33,286.28,185.85,339.9,246.54,240.59,186.27,284.41,328.11,279.69,252.16,219.5,212.88,348.77,242.33,248.82,230.12,251.18,211.98,293.82,227.99,333.47,241.45,187.25,310.99,310.31,203.18,292.97,250.57,279.41,205.09,241.53,325.89,308.33,266.09,222.5,227.3,218.38,259.74,271.51,218.6,311.15,360.23,216.32,226.27,239.36,292.97,311.74,242.75,225.5,360.23,240.59,14345.5
19,1983-08-31,224.4,212.33,218.07,335.06,285.8,181.7,255.23,219.44,359.43,179.7,187.28,257.56,304.1,234.13,232.66,189.71,222.09,335.06,240.11,272.22,352.84,189.49,287.26,189.07,221.03,234.38,179.21,160.59,276.08,144.96,150.05,228.17,306.32,131.1,265.52,202.68,202.59,353.56,294.94,175.98,150.66,352.55,150.09,297.32,290.06,188.66,303.17,212.91,266.66,150.05,158.65,307.2,193.77,188.66,359.43,13061.74
20,1983-09-30,174.53,105.22,333.16,301.9,312.07,120.44,342.41,161.61,379.48,186.15,264.08,335.38,392.2,201.68,147.53,88.86999999999999,332.91,301.9,209.81,260.38,397.55,89.86,439.83,83.17,380.83,236.09,119.51,298.28,368.77,116.32,272.8,187.82,433.34,105.09,236.48,264.98,327.64,412.04,267.55,91.8,205.33,366.84,258.58,283.32,411.77,327.91,286.27,183.73,238.42,272.8,271.21,280.23,88.19,327.91,379.48,14263.45
21,1983-10-31,39.54,82.03,61.82,36.92,73.99,61.07,75.05,83.74999999999999,56.55,37.87,36.57,73.31,50.57,77.83,59.94,72.35,61.69,36.92,81.25,60.8,64.41,66.7,62.38,76.25,52.23,56.77,55.69,31.92,69.72,32.73,30.21,70.13000000000001,63.39,36.19,61.05,67.38,38.21,58.52,39.05,69.24,26.46,48.76,30.27,59.78,69.56,51.14,52.11,37.45,65.04,30.21,38.54,46.9,70.32,51.14,56.55,3056.22
22,1983-11-30,0.0,0.0,0.0,0.0,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04
23,1983-12-31,0.21,0.01,6.71,1.14,5.890000000000001,0.03,0.86,5.63,0.9800000000000001,0.17,6.710000000000001,0.84,2.14,5.81,0.22,0.02,7.529999999999999,1.14,6.66,0.51,0.9500000000000001,0.06,2.07,0.04,3.33,0.39,0.06,4.32,4.99,0.06,4.38,3.86,1.38,0.04,4.53,0.76,4.279999999999999,1.3,0.45,0.05,5.390000000000001,1.37,4.62,0.6,2.57,5.8,0.57,1.26,5.3,4.38,6.749999999999999,2.85,0.07,5.8,0.9800000000000001,138.82
24,1984-01-31,24.42,1.65,32.99,41.72,39.23,2.99,37.85,5.94,45.48,12.61,29.56,37.67,33.56,11.81,15.22,2.7,31.85,41.72,11.72,27.61,43.48,4.45,37.73,3.79,35.14,23.96,5.08,34.59,38.3,12.37,31.03,12.46,37.89,8.979999999999999,21.03,33.89,34.38,38.94,40.08000000000001,6.26,23.07,40.17,29.1,32.78,39.9,30.46,37.76,20.47,20.34,31.03,27.63,30.9,5.670000000000001,30.46,45.48,1437.35
25,1984-02-29,2.97,3.45,35.32,4.99,28.92,7.38,29.85,1.95,10.95,17.78,38.71,28.31,27.18,3.14,5.42,4.52,34.85,4.99,3.88,12.76,14.79,5.3,35.06,2.96,42.48999999999999,18.07,8.66,53.11,32.77,1.24,52.58,0.88,28.55,1.04,5.24,29.72,43.65,18.38,4.26,2.29,46.47000000000001,13.31,50.48,9.200000000000001,34.18,41.32,6.62,0.43,6.489999999999999,52.58,44.9,7.779999999999999,3.54,41.32,10.95,1077.93
26,1984-03-31,0.0,0.01,0.52,0.0,0.21,0.04,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.01,0.56,0.0,0.0,0.0,0.0,0.01,0.07,0.0,0.2,0.01,0.04,0.04,0.28,0.0,0.08,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.03,0.0,0.09,0.0,0.09,0.41,0.0,0.0,0.0,0.08,0.27,0.0,0.0,0.41,0.0,3.53
