Ashoknagar,Chhindwara,Dewas,Guna,Harda,Indore,Khandwa,Khargone,Mandsaur,Raisen,Rajgarh,Sagar,Sehore,Shajapur,Shivpuri,Tikamgarh,Ujjain,Vidisha
0.06945358,0.096998475,0.05876168,0.06649623,0.060729146,0.05968971,0.0626777,0.06385446,0.08533061,0.06704448,0.055701636,0.06384209,0.06828047,0.05457857,0.0554751,0.06224764,0.08082825,0.090190105
0.058296468,0.11594992,0.067567535,0.07903278,0.06573543,0.06044813,0.070334174,0.067422755,0.08349272,0.07541436,0.06757285,0.06621823,0.074324355,0.06273954,0.05244611,0.05875308,0.069436535,0.08920338
0.051896248,0.13532145,0.068276264,0.0760456,0.06423847,0.054261845,0.06966093,0.06238276,0.06408995,0.076696225,0.063799284,0.083502054,0.07397354,0.060963474,0.052544795,0.05381848,0.06043067,0.08772076
0.05497278,0.13812952,0.06407772,0.07362212,0.06084597,0.04974968,0.06584251,0.05879623,0.05787651,0.07564916,0.058024243,0.1031324,0.07395108,0.05668655,0.05133385,0.047925923,0.057165947,0.1020897
0.057673376,0.14037265,0.06456712,0.06988943,0.060442183,0.051986147,0.06553598,0.06177497,0.057516754,0.06685658,0.055336498,0.10896578,0.07190223,0.058805443,0.052457146,0.051209796,0.056072302,0.10779797
0.06017339,0.13927862,0.06619223,0.068288624,0.06128735,0.05648428,0.06772909,0.0654232,0.05800703,0.054268837,0.056472305,0.09510977,0.06880624,0.06307244,0.057851505,0.05279568,0.053738937,0.10531661
0.055973537,0.13850817,0.06673683,0.0675767,0.062096722,0.061051913,0.07818605,0.06701686,0.061421424,0.04989695,0.06093682,0.07456025,0.07424168,0.06924402,0.062736854,0.051459,0.04468418,0.090860784
0.057577822,0.13634823,0.06846745,0.06905834,0.062384177,0.06555587,0.08451124,0.07092985,0.06637117,0.07086212,0.063383125,0.05910055,0.07618611,0.07285505,0.07027599,0.053193744,0.04252105,0.07759306
0.05911577,0.12818655,0.06853485,0.070399,0.06514027,0.068819456,0.08461339,0.07459937,0.06773332,0.07089299,0.05913145,0.054987565,0.07494332,0.07240946,0.08065594,0.056264557,0.047649425,0.07925646
0.060560185,0.118236504,0.06626445,0.07141113,0.07552704,0.06857209,0.072622515,0.07700563,0.06533075,0.045234524,0.05364347,0.060163915,0.07189732,0.066537395,0.09272859,0.060632102,0.061562978,0.09181622
0.06200058,0.11894229,0.071044475,0.07361798,0.09311332,0.082424834,0.10599448,0.07761955,0.07364053,0.062037956,0.061787467,0.068879336,0.0906563,0.06359532,0.076561876,0.06320125,0.080189556,0.094678454
0.06311327,0.12592196,0.089294516,0.08023321,0.09943575,0.082267985,0.10868015,0.10775454,0.08036143,0.1109491,0.074569166,0.07911178,0.090591885,0.0863747,0.071482524,0.064317696,0.09198268,0.08861086
0.062213592,0.13395707,0.08737393,0.07687583,0.0912654,0.07768249,0.09757652,0.10166,0.07733954,0.09151059,0.07071801,0.09044001,0.0846229,0.08552983,0.10657074,0.065041736,0.099154994,0.08419941
0.06628889,0.1307572,0.08413998,0.07074718,0.084785216,0.07307495,0.0872476,0.09283364,0.06846068,0.07932987,0.06665794,0.09211594,0.07525231,0.07298263,0.13150904,0.065960884,0.09396443,0.084087305
0.08877816,0.121573485,0.079915784,0.06728705,0.0799529,0.06955783,0.08390876,0.082521856,0.06085259,0.07444861,0.06064162,0.0892007,0.067904055,0.062841706,0.07541758,0.0687176,0.08671149,0.090313524
0.071659215,0.11812642,0.07819357,0.067003116,0.08295527,0.063399106,0.08363781,0.08032936,0.06651985,0.07625285,0.06193564,0.09162824,0.065952115,0.059114773,0.072212234,0.066738226,0.101518594,0.098433085
0.07193008,0.117228225,0.07970434,0.068584986,0.08674997,0.074017316,0.088924944,0.082139544,0.08521878,0.07821945,0.069166064,0.08905246,0.06796191,0.06439429,0.07023227,0.06550026,0.120196134,0.09824584
0.07004603,0.11159661,0.08098923,0.069929734,0.090686016,0.07576989,0.094752125,0.08093114,0.09071565,0.07860634,0.079961695,0.07905513,0.07023087,0.07431632,0.06842983,0.06227724,0.123420045,0.087256886
0.06573156,0.1039287,0.08094604,0.07269915,0.06894456,0.06791251,0.08982983,0.07502526,0.06558057,0.07481748,0.070265286,0.12508658,0.07153498,0.065946475,0.0663493,0.055472814,0.08724302,0.06750342
0.066600055,0.100423135,0.06306265,0.072678745,0.06254003,0.06740813,0.081184916,0.07453613,0.07535455,0.06424132,0.07243068,0.08745556,0.07389447,0.064889066,0.06588287,0.049599413,0.04841482,0.056687698
0.06879882,0.09455567,0.06197577,0.07274789,0.0666059,0.068823345,0.08071242,0.076376855,0.07461861,0.0527013,0.07368341,0.072869636,0.07846337,0.0648337,0.0655342,0.04853167,0.044724658,0.061859507
0.06566195,0.092700854,0.06848317,0.07514161,0.06412935,0.06620619,0.07974685,0.07529773,0.06736055,0.066715345,0.078440994,0.07903023,0.08495381,0.069126,0.063174464,0.050127443,0.049492616,0.06643548
0.057667233,0.09314737,0.07821337,0.07900751,0.10969116,0.0710946,0.10961597,0.067650996,0.091273636,0.07538334,0.08146352,0.08817692,0.08620307,0.07951508,0.060281456,0.051922444,0.05720467,0.06734587
0.0484026,0.11587838,0.074126236,0.08143529,0.09494219,0.07849756,0.10099998,0.08818197,0.085798316,0.084797285,0.079405434,0.056667477,0.086569786,0.076879025,0.054382417,0.053029332,0.08205081,0.08415429
0.044400923,0.11377162,0.073756486,0.078877136,0.08692618,0.07301004,0.090456255,0.07373431,0.07211296,0.07516324,0.081495315,0.051506687,0.081659034,0.07351067,0.046847243,0.050527688,0.08034453,0.07399406
0.044811442,0.111134686,0.06890223,0.07279384,0.0802539,0.06642716,0.083773375,0.06775525,0.060957164,0.06655085,0.07037855,0.05662567,0.0677623,0.06318,0.052194487,0.05162948,0.06957942,0.06860823
0.053688556,0.10390745,0.06812713,0.06871227,0.0788285,0.06085949,0.08076529,0.06810336,0.055837225,0.06663551,0.06255394,0.07463495,0.06376927,0.059321024,0.058473267,0.044907786,0.07101644,0.07991654
0.061264332,0.115261406,0.069519036,0.07073168,0.08088682,0.061365303,0.08654866,0.07259214,0.058471814,0.07085697,0.07158962,0.10894846,0.066780634,0.07725301,0.06294391,0.04757291,0.09253207,0.10377282
0.070241004,0.11780413,0.07159572,0.077517465,0.07402891,0.061690174,0.0935323,0.078914836,0.06023147,0.07523519,0.08879354,0.14106116,0.07037178,0.08118184,0.06459033,0.053652644,0.09192074,0.11166302
0.07464869,0.11384612,0.06713512,0.08416103,0.066597685,0.060201775,0.095756106,0.082009465,0.06394207,0.07797422,0.080624595,0.15674923,0.07197238,0.07400283,0.0642239,0.054485723,0.0655139,0.099559784
0.070839986,0.106162295,0.062113795,0.08664625,0.06576555,0.065014966,0.09275006,0.08169871,0.06455431,0.0680895,0.078205526,0.16399002,0.07477752,0.06749592,0.06646687,0.054342166,0.050215345,0.071579315
0.06329166,0.09642364,0.0647362,0.08369034,0.06889412,0.070095144,0.092225075,0.084396295,0.067520835,0.06412526,0.07286812,0.15157436,0.07608429,0.06988389,0.06962866,0.053528983,0.045118134,0.05248584
