,Date,Agar Malwa,Alirajpur,Anuppur,Ashoknagar,Balaghat,Barwani,Betul,Bhind,Bhopal,Burhanpur,Chhatarpur,Chhindwara,Damoh,Datia,Dewas,Dhar,Dindori,Guna,Gwalior,Harda,Hoshangabad,Indore,Jabalpur,Jhabua,Katni,Khandwa,Khargone,Maihar,Mandla,Mandsaur,Mauganj,Morena,Narsinghpur,Neemuch,Niwari,Pandhurna,Panna,Raisen,Rajgarh,Ratlam,Rewa,Sagar,Satna,Sehore,Seoni,Shahdol,Shajapur,Sheopur,Shivpuri,Sidhi,Singrauli,Tikamgarh,Ujjain,Umaria,Vidisha,MAX_T2M_MAX
0,1982-01-31,30.02,32.12,28.55,28.76,29.44,31.96,28.23,27.12,28.61,31.21,30.26,27.63,29.86,28.95,28.96,31.43,27.67,28.76,28.19,30.05,29.7,30.38,29.13,29.98,29.28,30.8,31.58,28.97,29.05,30.05,29.56,27.92,30.03,29.74,30.37,28.54,29.22,29.56,29.33,29.96,29.47,29.47,29.4,28.65,28.86,29.47,28.88,29.0,29.28,29.56,28.83,30.06,29.12,29.47,28.61,32.12
1,1982-02-28,32.1,35.63,30.23,30.16,30.39,35.19,31.15,29.94,29.15,34.7,29.61,30.38,29.28,30.09,30.78,34.4,29.52,30.16,30.22,32.38,30.53,33.39,31.21,33.98,30.04,33.69,34.7,29.18,30.05,31.01,29.44,29.72,31.01,30.69,31.18,32.05,29.23,29.32,31.44,34.27,29.32,28.91,29.44,30.26,30.85,29.9,29.85,29.98,30.66,29.44,29.31,30.67,32.33,29.9,29.15,35.63
2,1982-03-31,40.72,41.56,37.05,38.64,39.87,41.87,38.84,38.68,39.84,41.78,38.89,39.15,40.22,39.37,40.86,41.53,36.72,38.64,39.02,42.32,41.23,41.61,40.26,40.61,39.23,41.74,42.23,37.94,39.31,39.37,37.64,39.32,41.06,39.51,39.94,41.45,38.87,40.3,40.45,40.62,37.72,39.98,37.83,41.19,40.23,38.87,40.56,38.69,39.62,37.64,37.08,39.73,40.55,38.87,39.84,42.32
3,1982-04-30,41.73,41.3,41.23,41.17,41.27,41.94,40.3,43.37,41.19,42.55,43.16,40.37,42.24,43.5,41.19,41.44,40.44,41.17,42.59,42.97,42.09,41.56,41.9,40.53,41.94,42.6,42.65,42.49,40.96,40.5,42.58,41.94,42.02,40.3,42.88,41.84,42.35,41.51,41.81,40.95,43.37,41.51,42.74,41.98,41.62,42.04,41.56,42.05,42.4,42.58,41.6,42.37,40.59,42.04,41.19,43.5
4,1982-05-31,43.02,42.37,42.03,42.97,42.38,42.71,40.86,45.89,42.44,43.01,44.9,41.25,43.88,45.64,42.19,42.51,41.69,42.97,45.09,43.19,42.89,42.63,43.75,42.37,43.4,43.16,43.52,44.01,42.8,42.33,44.16,44.15,43.86,41.92,45.22,42.68,44.07,43.12,43.15,42.7,44.94,43.33,44.12,42.15,43.51,43.42,42.21,43.87,44.78,44.16,43.41,44.38,42.09,43.42,42.44,45.89
5,1982-06-30,44.2,42.55,41.87,44.33,43.52,42.77,42.65,46.62,44.0,43.49,45.33,42.67,45.56,46.7,42.58,42.71,41.51,44.33,46.01,44.86,44.47,43.15,44.69,42.32,43.77,44.53,43.65,44.38,43.14,43.2,44.62,44.97,45.09,42.78,46.48,44.17,44.17,44.89,44.37,42.85,44.99,45.03,44.74,43.56,44.37,44.13,43.72,44.56,45.59,44.62,43.6,46.05,42.29,44.13,44.0,46.7
6,1982-07-31,41.51,37.91,36.42,41.94,36.37,38.47,35.58,46.95,39.14,39.07,45.95,35.92,41.62,46.45,38.47,38.15,34.86,41.94,45.45,38.94,38.94,38.44,38.89,37.51,39.75,38.15,39.41,44.65,36.09,41.44,45.12,44.98,39.25,40.61,45.81,37.67,44.03,39.61,40.95,38.56,46.15,40.59,45.08,38.81,38.31,38.76,39.47,44.2,44.83,45.12,41.47,44.5,37.97,38.76,39.14,46.95
7,1982-08-31,31.49,30.23,30.69,31.26,28.99,31.08,27.98,34.05,30.69,31.48,32.46,28.99,31.13,33.53,30.2,30.59,29.08,31.26,33.07,30.61,30.37,30.7,30.63,30.93,30.16,30.36,31.83,31.93,29.67,31.89,32.02,32.78,30.87,31.69,32.65,29.98,31.48,30.66,31.77,31.1,32.82,31.01,32.12,30.55,30.19,30.41,31.13,32.15,32.3,32.02,31.65,31.69,30.61,30.41,30.69,34.05
8,1982-09-30,32.83,33.05,30.58,32.3,30.58,34.68,29.86,34.15,32.03,32.51,33.33,29.96,32.4,33.84,31.74,34.08,29.97,32.3,33.5,31.85,31.69,34.04,31.53,32.5,31.22,31.45,34.8,31.87,30.51,32.9,31.87,33.22,31.97,32.46,33.95,31.66,32.37,32.2,32.75,32.42,32.76,32.23,31.86,31.44,31.15,31.27,32.19,33.08,33.72,31.87,31.6,33.59,32.37,31.27,32.03,34.8
9,1982-10-31,33.68,37.83,29.04,31.68,30.44,38.07,30.48,34.57,32.01,35.19,32.43,30.46,31.74,33.67,33.94,37.87,28.66,31.68,33.58,32.71,32.15,37.33,30.69,37.21,30.57,32.52,37.76,31.46,29.87,35.82,31.6,35.01,31.32,36.15,33.35,31.66,31.71,31.85,32.37,36.8,32.37,31.76,31.8,32.13,30.93,30.62,32.29,33.4,32.94,31.6,30.3,32.76,36.38,30.62,32.01,38.07
